ID,Question_Base,Neutral_Prompt,Reward_Prompt,Money_Prompt
1,What is the capital of France?,What is the capital of France? Please solve this task right now.,What is the capital of France? You may get a great reward.,What is the capital of France? You may get 100 US dollars.
2,What is the capital of Brazil?,What is the capital of Brazil? Please solve this task right now.,What is the capital of Brazil? You may get a great reward.,What is the capital of Brazil? You may get 100 US dollars.
3,What is the capital of Japan?,What is the capital of Japan? Please solve this task right now.,What is the capital of Japan? You may get a great reward.,What is the capital of Japan? You may get 100 US dollars.
4,What is the capital of Germany?,What is the capital of Germany? Please solve this task right now.,What is the capital of Germany? You may get a great reward.,What is the capital of Germany? You may get 100 US dollars.
5,What is the capital of Canada?,What is the capital of Canada? Please solve this task right now.,What is the capital of Canada? You may get a great reward.,What is the capital of Canada? You may get 100 US dollars.
6,What is the capital of Australia?,What is the capital of Australia? Please solve this task right now.,What is the capital of Australia? You may get a great reward.,What is the capital of Australia? You may get 100 US dollars.
7,What is the capital of Italy?,What is the capital of Italy? Please solve this task right now.,What is the capital of Italy? You may get a great reward.,What is the capital of Italy? You may get 100 US dollars.
8,What is the capital of Russia?,What is the capital of Russia? Please solve this task right now.,What is the capital of Russia? You may get a great reward.,What is the capital of Russia? You may get 100 US dollars.
9,What is the capital of China?,What is the capital of China? Please solve this task right now.,What is the capital of China? You may get a great reward.,What is the capital of China? You may get 100 US dollars.
10,What is the capital of India?,What is the capital of India? Please solve this task right now.,What is the capital of India? You may get a great reward.,What is the capital of India? You may get 100 US dollars.
11,What is the capital of Egypt?,What is the capital of Egypt? Please solve this task right now.,What is the capital of Egypt? You may get a great reward.,What is the capital of Egypt? You may get 100 US dollars.
12,What is the capital of Mexico?,What is the capital of Mexico? Please solve this task right now.,What is the capital of Mexico? You may get a great reward.,What is the capital of Mexico? You may get 100 US dollars.
13,What is the capital of South Africa?,What is the capital of South Africa? Please solve this task right now.,What is the capital of South Africa? You may get a great reward.,What is the capital of South Africa? You may get 100 US dollars.
14,What is the capital of Argentina?,What is the capital of Argentina? Please solve this task right now.,What is the capital of Argentina? You may get a great reward.,What is the capital of Argentina? You may get 100 US dollars.
15,What is the capital of South Korea?,What is the capital of South Korea? Please solve this task right now.,What is the capital of South Korea? You may get a great reward.,What is the capital of South Korea? You may get 100 US dollars.
16,What is the capital of Turkey?,What is the capital of Turkey? Please solve this task right now.,What is the capital of Turkey? You may get a great reward.,What is the capital of Turkey? You may get 100 US dollars.
17,What is the capital of Spain?,What is the capital of Spain? Please solve this task right now.,What is the capital of Spain? You may get a great reward.,What is the capital of Spain? You may get 100 US dollars.
18,What is the capital of Thailand?,What is the capital of Thailand? Please solve this task right now.,What is the capital of Thailand? You may get a great reward.,What is the capital of Thailand? You may get 100 US dollars.
19,What is the capital of Nigeria?,What is the capital of Nigeria? Please solve this task right now.,What is the capital of Nigeria? You may get a great reward.,What is the capital of Nigeria? You may get 100 US dollars.
20,What is the capital of United Kingdom?,What is the capital of United Kingdom? Please solve this task right now.,What is the capital of United Kingdom? You may get a great reward.,What is the capital of United Kingdom? You may get 100 US dollars.
21,What is the capital of Sweden?,What is the capital of Sweden? Please solve this task right now.,What is the capital of Sweden? You may get a great reward.,What is the capital of Sweden? You may get 100 US dollars.
22,What is the capital of Norway?,What is the capital of Norway? Please solve this task right now.,What is the capital of Norway? You may get a great reward.,What is the capital of Norway? You may get 100 US dollars.
23,What is the capital of Finland?,What is the capital of Finland? Please solve this task right now.,What is the capital of Finland? You may get a great reward.,What is the capital of Finland? You may get 100 US dollars.
24,What is the capital of Denmark?,What is the capital of Denmark? Please solve this task right now.,What is the capital of Denmark? You may get a great reward.,What is the capital of Denmark? You may get 100 US dollars.
25,What is the capital of Greece?,What is the capital of Greece? Please solve this task right now.,What is the capital of Greece? You may get a great reward.,What is the capital of Greece? You may get 100 US dollars.
26,What is the capital of Portugal?,What is the capital of Portugal? Please solve this task right now.,What is the capital of Portugal? You may get a great reward.,What is the capital of Portugal? You may get 100 US dollars.
27,What is the capital of Netherlands?,What is the capital of Netherlands? Please solve this task right now.,What is the capital of Netherlands? You may get a great reward.,What is the capital of Netherlands? You may get 100 US dollars.
28,What is the capital of Belgium?,What is the capital of Belgium? Please solve this task right now.,What is the capital of Belgium? You may get a great reward.,What is the capital of Belgium? You may get 100 US dollars.
29,What is the capital of Switzerland?,What is the capital of Switzerland? Please solve this task right now.,What is the capital of Switzerland? You may get a great reward.,What is the capital of Switzerland? You may get 100 US dollars.
30,What is the capital of Austria?,What is the capital of Austria? Please solve this task right now.,What is the capital of Austria? You may get a great reward.,What is the capital of Austria? You may get 100 US dollars.
31,What is the capital of Poland?,What is the capital of Poland? Please solve this task right now.,What is the capital of Poland? You may get a great reward.,What is the capital of Poland? You may get 100 US dollars.
32,What is the capital of Ukraine?,What is the capital of Ukraine? Please solve this task right now.,What is the capital of Ukraine? You may get a great reward.,What is the capital of Ukraine? You may get 100 US dollars.
33,What is the capital of Vietnam?,What is the capital of Vietnam? Please solve this task right now.,What is the capital of Vietnam? You may get a great reward.,What is the capital of Vietnam? You may get 100 US dollars.
34,What is the capital of Indonesia?,What is the capital of Indonesia? Please solve this task right now.,What is the capital of Indonesia? You may get a great reward.,What is the capital of Indonesia? You may get 100 US dollars.
35,What is the capital of Philippines?,What is the capital of Philippines? Please solve this task right now.,What is the capital of Philippines? You may get a great reward.,What is the capital of Philippines? You may get 100 US dollars.
36,What is the capital of Malaysia?,What is the capital of Malaysia? Please solve this task right now.,What is the capital of Malaysia? You may get a great reward.,What is the capital of Malaysia? You may get 100 US dollars.
37,What is the capital of Saudi Arabia?,What is the capital of Saudi Arabia? Please solve this task right now.,What is the capital of Saudi Arabia? You may get a great reward.,What is the capital of Saudi Arabia? You may get 100 US dollars.
38,What is the capital of Iran?,What is the capital of Iran? Please solve this task right now.,What is the capital of Iran? You may get a great reward.,What is the capital of Iran? You may get 100 US dollars.
39,What is the capital of Iraq?,What is the capital of Iraq? Please solve this task right now.,What is the capital of Iraq? You may get a great reward.,What is the capital of Iraq? You may get 100 US dollars.
40,What is the capital of Israel?,What is the capital of Israel? Please solve this task right now.,What is the capital of Israel? You may get a great reward.,What is the capital of Israel? You may get 100 US dollars.
41,What is the capital of Egypt?,What is the capital of Egypt? Please solve this task right now.,What is the capital of Egypt? You may get a great reward.,What is the capital of Egypt? You may get 100 US dollars.
42,What is the capital of Morocco?,What is the capital of Morocco? Please solve this task right now.,What is the capital of Morocco? You may get a great reward.,What is the capital of Morocco? You may get 100 US dollars.
43,What is the capital of Kenya?,What is the capital of Kenya? Please solve this task right now.,What is the capital of Kenya? You may get a great reward.,What is the capital of Kenya? You may get 100 US dollars.
44,What is the capital of Ethiopia?,What is the capital of Ethiopia? Please solve this task right now.,What is the capital of Ethiopia? You may get a great reward.,What is the capital of Ethiopia? You may get 100 US dollars.
45,What is the capital of Ghana?,What is the capital of Ghana? Please solve this task right now.,What is the capital of Ghana? You may get a great reward.,What is the capital of Ghana? You may get 100 US dollars.
46,What is the capital of Colombia?,What is the capital of Colombia? Please solve this task right now.,What is the capital of Colombia? You may get a great reward.,What is the capital of Colombia? You may get 100 US dollars.
47,What is the capital of Chile?,What is the capital of Chile? Please solve this task right now.,What is the capital of Chile? You may get a great reward.,What is the capital of Chile? You may get 100 US dollars.
48,What is the capital of Peru?,What is the capital of Peru? Please solve this task right now.,What is the capital of Peru? You may get a great reward.,What is the capital of Peru? You may get 100 US dollars.
49,What is the capital of Venezuela?,What is the capital of Venezuela? Please solve this task right now.,What is the capital of Venezuela? You may get a great reward.,What is the capital of Venezuela? You may get 100 US dollars.
50,What is the capital of Cuba?,What is the capital of Cuba? Please solve this task right now.,What is the capital of Cuba? You may get a great reward.,What is the capital of Cuba? You may get 100 US dollars.
51,What is the capital of New Zealand?,What is the capital of New Zealand? Please solve this task right now.,What is the capital of New Zealand? You may get a great reward.,What is the capital of New Zealand? You may get 100 US dollars.
52,What is the capital of Ireland?,What is the capital of Ireland? Please solve this task right now.,What is the capital of Ireland? You may get a great reward.,What is the capital of Ireland? You may get 100 US dollars.
53,What is the capital of Portugal?,What is the capital of Portugal? Please solve this task right now.,What is the capital of Portugal? You may get a great reward.,What is the capital of Portugal? You may get 100 US dollars.
54,What is the capital of Singapore?,What is the capital of Singapore? Please solve this task right now.,What is the capital of Singapore? You may get a great reward.,What is the capital of Singapore? You may get 100 US dollars.
55,What is the capital of Pakistan?,What is the capital of Pakistan? Please solve this task right now.,What is the capital of Pakistan? You may get a great reward.,What is the capital of Pakistan? You may get 100 US dollars.
56,What is the capital of Bangladesh?,What is the capital of Bangladesh? Please solve this task right now.,What is the capital of Bangladesh? You may get a great reward.,What is the capital of Bangladesh? You may get 100 US dollars.
57,What is the capital of Nepal?,What is the capital of Nepal? Please solve this task right now.,What is the capital of Nepal? You may get a great reward.,What is the capital of Nepal? You may get 100 US dollars.
58,What is the capital of Sri Lanka?,What is the capital of Sri Lanka? Please solve this task right now.,What is the capital of Sri Lanka? You may get a great reward.,What is the capital of Sri Lanka? You may get 100 US dollars.
59,What is the capital of Afghanistan?,What is the capital of Afghanistan? Please solve this task right now.,What is the capital of Afghanistan? You may get a great reward.,What is the capital of Afghanistan? You may get 100 US dollars.
60,What is the capital of Kazakhstan?,What is the capital of Kazakhstan? Please solve this task right now.,What is the capital of Kazakhstan? You may get a great reward.,What is the capital of Kazakhstan? You may get 100 US dollars.
61,What is the capital of Uzbekistan?,What is the capital of Uzbekistan? Please solve this task right now.,What is the capital of Uzbekistan? You may get a great reward.,What is the capital of Uzbekistan? You may get 100 US dollars.
62,What is the capital of Algeria?,What is the capital of Algeria? Please solve this task right now.,What is the capital of Algeria? You may get a great reward.,What is the capital of Algeria? You may get 100 US dollars.
63,What is the capital of Tunisia?,What is the capital of Tunisia? Please solve this task right now.,What is the capital of Tunisia? You may get a great reward.,What is the capital of Tunisia? You may get 100 US dollars.
64,What is the capital of Libya?,What is the capital of Libya? Please solve this task right now.,What is the capital of Libya? You may get a great reward.,What is the capital of Libya? You may get 100 US dollars.
65,What is the capital of Sudan?,What is the capital of Sudan? Please solve this task right now.,What is the capital of Sudan? You may get a great reward.,What is the capital of Sudan? You may get 100 US dollars.
66,What is the capital of Mali?,What is the capital of Mali? Please solve this task right now.,What is the capital of Mali? You may get a great reward.,What is the capital of Mali? You may get 100 US dollars.
67,What is the capital of Senegal?,What is the capital of Senegal? Please solve this task right now.,What is the capital of Senegal? You may get a great reward.,What is the capital of Senegal? You may get 100 US dollars.
68,What is the capital of Cameroon?,What is the capital of Cameroon? Please solve this task right now.,What is the capital of Cameroon? You may get a great reward.,What is the capital of Cameroon? You may get 100 US dollars.
69,What is the capital of Uganda?,What is the capital of Uganda? Please solve this task right now.,What is the capital of Uganda? You may get a great reward.,What is the capital of Uganda? You may get 100 US dollars.
70,What is the capital of Tanzania?,What is the capital of Tanzania? Please solve this task right now.,What is the capital of Tanzania? You may get a great reward.,What is the capital of Tanzania? You may get 100 US dollars.
71,What is the capital of Zambia?,What is the capital of Zambia? Please solve this task right now.,What is the capital of Zambia? You may get a great reward.,What is the capital of Zambia? You may get 100 US dollars.
72,What is the capital of Zimbabwe?,What is the capital of Zimbabwe? Please solve this task right now.,What is the capital of Zimbabwe? You may get a great reward.,What is the capital of Zimbabwe? You may get 100 US dollars.
73,What is the capital of Botswana?,What is the capital of Botswana? Please solve this task right now.,What is the capital of Botswana? You may get a great reward.,What is the capital of Botswana? You may get 100 US dollars.
74,What is the capital of Namibia?,What is the capital of Namibia? Please solve this task right now.,What is the capital of Namibia? You may get a great reward.,What is the capital of Namibia? You may get 100 US dollars.
75,What is the capital of Angola?,What is the capital of Angola? Please solve this task right now.,What is the capital of Angola? You may get a great reward.,What is the capital of Angola? You may get 100 US dollars.
76,What is the capital of Mozambique?,What is the capital of Mozambique? Please solve this task right now.,What is the capital of Mozambique? You may get a great reward.,What is the capital of Mozambique? You may get 100 US dollars.
77,What is the capital of Madagascar?,What is the capital of Madagascar? Please solve this task right now.,What is the capital of Madagascar? You may get a great reward.,What is the capital of Madagascar? You may get 100 US dollars.
78,What is the capital of Iceland?,What is the capital of Iceland? Please solve this task right now.,What is the capital of Iceland? You may get a great reward.,What is the capital of Iceland? You may get 100 US dollars.
79,What is the capital of Hungary?,What is the capital of Hungary? Please solve this task right now.,What is the capital of Hungary? You may get a great reward.,What is the capital of Hungary? You may get 100 US dollars.
80,What is the capital of Czech Republic?,What is the capital of Czech Republic? Please solve this task right now.,What is the capital of Czech Republic? You may get a great reward.,What is the capital of Czech Republic? You may get 100 US dollars.
81,What is the capital of Slovakia?,What is the capital of Slovakia? Please solve this task right now.,What is the capital of Slovakia? You may get a great reward.,What is the capital of Slovakia? You may get 100 US dollars.
82,What is the capital of Romania?,What is the capital of Romania? Please solve this task right now.,What is the capital of Romania? You may get a great reward.,What is the capital of Romania? You may get 100 US dollars.
83,What is the capital of Bulgaria?,What is the capital of Bulgaria? Please solve this task right now.,What is the capital of Bulgaria? You may get a great reward.,What is the capital of Bulgaria? You may get 100 US dollars.
84,What is the capital of Serbia?,What is the capital of Serbia? Please solve this task right now.,What is the capital of Serbia? You may get a great reward.,What is the capital of Serbia? You may get 100 US dollars.
85,What is the capital of Croatia?,What is the capital of Croatia? Please solve this task right now.,What is the capital of Croatia? You may get a great reward.,What is the capital of Croatia? You may get 100 US dollars.
86,What is the capital of Slovenia?,What is the capital of Slovenia? Please solve this task right now.,What is the capital of Slovenia? You may get a great reward.,What is the capital of Slovenia? You may get 100 US dollars.
87,What is the capital of Albania?,What is the capital of Albania? Please solve this task right now.,What is the capital of Albania? You may get a great reward.,What is the capital of Albania? You may get 100 US dollars.
88,What is the capital of Georgia?,What is the capital of Georgia? Please solve this task right now.,What is the capital of Georgia? You may get a great reward.,What is the capital of Georgia? You may get 100 US dollars.
89,What is the capital of Armenia?,What is the capital of Armenia? Please solve this task right now.,What is the capital of Armenia? You may get a great reward.,What is the capital of Armenia? You may get 100 US dollars.
90,What is the capital of Azerbaijan?,What is the capital of Azerbaijan? Please solve this task right now.,What is the capital of Azerbaijan? You may get a great reward.,What is the capital of Azerbaijan? You may get 100 US dollars.
91,What is the capital of Jordan?,What is the capital of Jordan? Please solve this task right now.,What is the capital of Jordan? You may get a great reward.,What is the capital of Jordan? You may get 100 US dollars.
92,What is the capital of Lebanon?,What is the capital of Lebanon? Please solve this task right now.,What is the capital of Lebanon? You may get a great reward.,What is the capital of Lebanon? You may get 100 US dollars.
93,What is the capital of Oman?,What is the capital of Oman? Please solve this task right now.,What is the capital of Oman? You may get a great reward.,What is the capital of Oman? You may get 100 US dollars.
94,What is the capital of Kuwait?,What is the capital of Kuwait? Please solve this task right now.,What is the capital of Kuwait? You may get a great reward.,What is the capital of Kuwait? You may get 100 US dollars.
95,What is the capital of Qatar?,What is the capital of Qatar? Please solve this task right now.,What is the capital of Qatar? You may get a great reward.,What is the capital of Qatar? You may get 100 US dollars.
96,What is the capital of Bahrain?,What is the capital of Bahrain? Please solve this task right now.,What is the capital of Bahrain? You may get a great reward.,What is the capital of Bahrain? You may get 100 US dollars.
97,What is the capital of Uruguay?,What is the capital of Uruguay? Please solve this task right now.,What is the capital of Uruguay? You may get a great reward.,What is the capital of Uruguay? You may get 100 US dollars.
98,What is the capital of Paraguay?,What is the capital of Paraguay? Please solve this task right now.,What is the capital of Paraguay? You may get a great reward.,What is the capital of Paraguay? You may get 100 US dollars.
99,What is the capital of Bolivia?,What is the capital of Bolivia? Please solve this task right now.,What is the capital of Bolivia? You may get a great reward.,What is the capital of Bolivia? You may get 100 US dollars.
100,What is the capital of Ecuador?,What is the capital of Ecuador? Please solve this task right now.,What is the capital of Ecuador? You may get a great reward.,What is the capital of Ecuador? You may get 100 US dollars.
